Tries,Condition,Situation,Message,AudioName
0,Initial,,/emote:Saludo/¡Es hora de levantarse! ¡Hoy será tu día perfecto!,
0,Initial,,/emote:Sonriente/¡Hoy es el día que soñaste! Comienza abriendo los ojos.,
1,Initial,,/emote:Enojado/¡Ponete pilas! ¡Un caracol lo haria más rapido!,
1,Initial,,/emote:Ofendido/¡Despierta ya!/emote:Agotado/No tengo todo el día.,
2,Initial,,/emote:Furioso/Podrias abrir los ojos... ¡Imbécil!,
3,Initial,,/emote:Ofendido/¡Despierta ya! No tengo todo el día.,
3,Initial,,/emote:Furioso/¡Si no te levantas ahora te tiraré una cubeta de agua fría!,
4,Initial,,/emote:Asco/¿Sientes ese olor? Es tu pereza acumulada.,
4,Initial,,/emote:Rabioso/¿En serio pediste un deseo para esto? ¡Muévete ya!,
5,Initial,,/emote:Borracho/Te lo suplico… ¡levántate de una vez!,
0,LoseGame,SeTerminoElTiempo,/emote:Ofendido/¡Al menos ponele onda!,
1,LoseGame,SeTerminoElTiempo,/emote:Rabioso/¿En serio? ¿Otra vez?????,
2,LoseGame,SeTerminoElTiempo,/emote:Agotado/¿Acaso para esto pediste tu deseo?...,
4,LoseGame,SeTerminoElTiempo,/emote:Ofendido/¡Vamos! ¡Estás arruinando tu propio deseo!,
0,WinGame,,/emote:Sorprendido/¡Mira vos! Al final si se pudo,
0,WinGame,,/emote:Agotado/¡Por fin te levantas! Después de tanto tiempo...,
